ABBREV	DEGREE	US_UNIVERSITY	GENDER	PREVIOUS_DEGREE	COLOMBIAN_UNIVERSITY
AMZ	MASTER'S	University of Illinois at Urbana-Champaign	FEMALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
AMZ	MASTER'S	University of Florida	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	University of California, Berkeley	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	The New School	MALE	BACHELOR	UNIVERSIDAD DE ANTIOQUIA
FLB-LSP	MASTER'S	Temple University	MALE	BACHELOR	UNIVERSIDAD DEL CAUCA
ARTS	MASTER'S	Temple University	FEMALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
FLB-CLC	Ph.D.	The New School	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	SUNY at Buffalo	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	Harvard University	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	Ph.D.	University of Illinois at Urbana-Champaign	FEMALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	Ph.D.	Harvard University	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	University of California - Los Angeles	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
FLB-LSP	MASTER'S	University of Pittsburgh - Main Campus	FEMALE	BACHELOR	UNIVERSIDAD DEL CAUCA
CLC- FLB	Ph.D.	University of North Carolina at Charlotte	MALE	BACHELOR	UNIVERSIDAD DEL VALLE
CALDAS	Ph.D.		MALE	MASTER'S	UNIVERSIDAD DEL VALLE
SALD	MASTER'S	COOPER UNION	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	Columbia University in the City of New York	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
PETRO	MASTER'S	Harvard University	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	Harvard University	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
DU	PH.D.	Illinois Institute of Technology	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
DU	PH.D.	Pennsylvania State University	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
VS	INV & DOC	The New School	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	Washington University in St Louis	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	Yale University	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	Yale University	MALE	BACHELOR	
JWF	MASTER'S	Kansas State University	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	University of Oregon	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	University of Texas at Austin	FEMALE	BACHELOR	UNIVERSIDAD DEL ATLANTICO
JWF	MASTER'S	Stanford University	MALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
JWF	MASTER'S	Massachusetts Institute of Technology	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	Harvard University	FEMALE	BACHELOR	UNIVERSIDAD DEL ATLANTICO
JWF	MASTER'S	University of Pennsylvania	FEMALE	BACHELOR	
JWF	MASTER'S	University of Pennsylvania	MALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
JWF	MASTER'S	University of Pennsylvania	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
ATG	MASTER'S	Ohio State University	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	Washington University in St Louis	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	Ohio State University	FEMALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
JWF	MASTER'S	University of Texas at Austin	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	Washington University in St Louis	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	University of Pennsylvania	FEMALE	BACHELOR	CORPORACION UNIVERSIDAD PILOTO DE COLOMBIA
JWF	MASTER'S	University of Pennsylvania	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	University of Cincinnati	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	SUNY at Buffalo	MALE	BACHELOR	UNIVERSIDAD SANTO TOMAS
JWF	MASTER'S	SUNY College of Environmental Science and Forestry	FEMALE	BACHELOR	UNIVERSIDAD AUTONOMA DEL CARIBE- UNIAUTONOMA
FLB-CLC	MASTER'S	University of Cincinnati	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
ARTS	MASTER'S	Pratt Institute	FEMALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	Cornell University	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
HHH	INV & DOC	Massachusetts Institute of Technology	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
ARTS	MASTER'S	SUNY Stony Brook	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
HHH	INV & DOC	Rutgers, The State University of New Jersey	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	Northwestern University	MALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
JWF	MASTER'S	Ohio State University	MALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
JWF	MASTER'S	Virginia Polytechnic Institute and State University	MALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
JWF	MASTER'S	Virginia Polytechnic Institute and State University	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
HHH	INV & DOC	University of North Carolina at Chapel Hill	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	University of Washington	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	Columbia University in the City of New York	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
HHH	INV & DOC	The New School	MALE	BACHELOR	UNIVERSIDAD DEL VALLE
ARTS	MASTER'S	California College of the Arts	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
ARTS	MASTER'S	San Francisco Art Institute	FEMALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
ARTS	MASTER'S	Temple University	FEMALE	BACHELOR	UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS
JWF	MASTER'S	Pratt Institute	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
FLB-LSP	MASTER'S	Virginia Commonwealth University	MALE	BACHELOR	UNIVERSIDAD DE ANTIOQUIA
ARTS	MASTER'S	San Francisco Art Institute	FEMALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	University of Cincinnati	FEMALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
ARTS	MASTER'S	Ohio University - Main Campus	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	Rhode Island School of Design	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
ARTS	MASTER'S	San Francisco Art Institute	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
DU	MASTER'S	Rutgers, The State University of New Jersey	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	Bard College	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
ARTS	MASTER'S	Pratt Institute	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
ARTS	MASTER'S	San Francisco Art Institute	FEMALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
ARTS	MASTER'S	Pratt Institute	FEMALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	Ph.D.	Boston College	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	School of the Art Institute of Chicago	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
CALDAS	Ph.D.		MALE	MASTER'S	UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD
LID	MASTER'S	San Diego State University	MALE	BACHELOR	UNIVERSIDAD AUTONOMA DEL CARIBE- UNIAUTONOMA
JWF	Ph.D.	Baylor College of Medicine	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	University of Louisville	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
FLB-ICX	Ph.D.	University of Massachusetts Amherst	FEMALE	BACHELOR	UNIVERSIDAD INDUSTRIAL DE SANTANDER
FLB-CLC	Ph.D.	Johns Hopkins University	FEMALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
FLB-CLC	Ph.D.	Texas A&M University	MALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
FLB-LSP	MASTER'S	SUNY at Buffalo	FEMALE	BACHELOR	UNIVERSIDAD DE ANTIOQUIA
CLC-DNP	Ph.D.	Washington State University	FEMALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
FLTA	INV & DOC	Hollins University	FEMALE	BACHELOR	UNIVERSIDAD PEDAGOGICA NACIONAL
FLTA	INV & DOC	University of Arkansas at Monticello	MALE	BACHELOR	UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS
FLTA	INV & DOC	Antioch College	MALE	BACHELOR	UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS
FLB-LSP	MASTER'S	Adelphi University	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
ATG	MASTER'S	Lesley University	FEMALE	BACHELOR	Medical College of Wisconsin
JWF	MASTER'S	School of Visual Arts	MALE	BACHELOR	FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO
JWF	MASTER'S	University of Southern California	MALE	BACHELOR	FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO
JWF	MASTER'S	Boston University	FEMALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	City College of New York of the City University of New York, The	FEMALE	BACHELOR	
JWF	MASTER'S	School of the Art Institute of Chicago	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	Savannah College of Art and Design	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	New York University	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	University of Maryland - College Park	FEMALE	BACHELOR	
DUR	MASTER'S	Michigan State University	FEMALE	BACHELOR	INSTITUCION UNIVERSITARIA COLOMBO AMERICANA - UNICA
CERR	MASTER'S	Southern Illinois University Edwardsville	FEMALE	BACHELOR	UNIVERSIDAD DEL ATLANTICO
CALDAS	Ph.D.	Purdue University	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
VS	INV & DOC	WOODS HOLE OCEANOGRAPHIC INSTITUTION	FEMALE	BACHELOR	FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO
LID	Ph.D.	Iowa State University	MALE	BACHELOR	UNIVERSIDAD DEL VALLE
AMZ	MASTER'S	University of Florida	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
FLB-LSP	MASTER'S	University of Miami	MALE	BACHELOR	UNIVERSIDAD DEL VALLE
JWF	Ph.D.	Wake Forest University	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	Duke University	MALE	BACHELOR	UNIVERSIDAD DEL VALLE
JWF	MASTER'S	University of California, Riverside	MALE	BACHELOR	UNIVERSIDAD DEL VALLE
JWF	MASTER'S	University of Arizona	FEMALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
JWF	MASTER'S	Louisiana State University and A&M College	MALE	BACHELOR	FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO
JWF	MASTER'S	American University	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	University of South Carolina - Columbia	MALE	BACHELOR	UNIVERSIDAD DEL VALLE
JWF	MASTER'S	University of Wyoming	FEMALE	BACHELOR	UNIVERSIDAD DEL VALLE
JWF	MASTER'S	University of Arizona	MALE	BACHELOR	UNIVERSIDAD DEL VALLE
ATG	MASTER'S	Rochester Institute of Technology	MALE	BACHELOR	UNIVERSIDAD DE LA SALLE
JWF	MASTER'S	North Carolina State University	MALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
JWF	MASTER'S	University of Maryland - College Park	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
FLB-LSP	MASTER'S	University of Florida	MALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
JWF	MASTER'S	University of Arizona	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
FLB-LSP	Ph.D.	Ohio State University	MALE	BACHELOR	UNIVERSIDAD DEL VALLE
JWF	Ph.D.	University of Missouri - Columbia	MALE	BACHELOR	UNIVERSIDAD DEL VALLE
FLB-CLC	Ph.D.	Cornell University	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
FLB-CLC	Ph.D.	University of Louisville	MALE	BACHELOR	UNIVERSIDAD DE ANTIOQUIA
HHH	INV & DOC	Cornell University	FEMALE	BACHELOR	UNIVERSITY OF BRITISH COLUMBIA
CLC-DNP	MASTER'S	Columbia University in the City of New York	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
CLC-DNP	Ph.D.	Ohio State University	MALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
FLB-CLC	Ph.D.	City College of New York of the City University of New York, The	FEMALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
FLB-CLC	Ph.D.	University of Illinois at Chicago	MALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
DU	Ph.D.	University of Michigan - Ann Arbor	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
FLB-CLC	MASTER'S	SUNY College of Environmental Science and Forestry	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	University of Kansas	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
FLB-LSP	MASTER'S	UNIVERSITY OF MINNESOTA - TWIN CITIES	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
FLB-LSP	MASTER'S	Boston College	FEMALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	University of Florida	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
FLB-LSP	MASTER'S	University of Mississippi	MALE	BACHELOR	UNIVERSIDAD DEL CAUCA
FLB-CLC	Ph.D.	The University of Texas Medical Branch	FEMALE	BACHELOR	UNIVERSIDAD DEL CAUCA
FLB-CLC	Ph.D.	The University of Texas Medical Branch	MALE	BACHELOR	UNIVERSIDAD DEL CAUCA
ARTS	MASTER'S	University of Utah	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
FLB-CLC	Ph.D.	North Carolina State University	MALE	BACHELOR	UNIVERSIDAD DEL VALLE
DU	Ph.D.	University of Michigan - Ann Arbor	FEMALE	BACHELOR	UNIVERSIDAD DEL VALLE
EST. CUL	MASTER'S	University of South Florida	FEMALE	BACHELOR	FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO
JWF	Ph.D.	Boston University	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	Texas A&M University	MALE	BACHELOR	FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO
FLB-LSP	MASTER'S	University of Rhode Island	FEMALE	BACHELOR	FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO
FLB-LSP	MASTER'S	University of Rhode Island	MALE	BACHELOR	FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO
JWF	MASTER'S	Oregon State University	FEMALE	BACHELOR	FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO
JWF	MASTER'S	University of Texas at Austin	MALE	BACHELOR	FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO
AMZ	MASTER'S	SUNY College of Environmental Science and Forestry	MALE	BACHELOR	FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO
JWF	MASTER'S	University of California, Berkeley	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
FLB-CLC	Ph.D.	SUNY at Buffalo	MALE	BACHELOR	FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO
JWF	Ph.D.	University of Texas at Austin	MALE	BACHELOR	FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO
JWF	MASTER'S	New Mexico State University	MALE	BACHELOR	FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO
ATG	Ph.D.	University of Miami	MALE	BACHELOR	UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC
JWF	MASTER'S	University of Missouri - Columbia	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
FLB-LSP	MASTER'S	University of Connecticut	MALE	BACHELOR	UNIVERSIDAD PEDAGOGICA NACIONAL
FLB-LSP	MASTER'S	SUNY College of Environmental Science and Forestry	MALE	BACHELOR	UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC
FLB-CLC	Ph.D.	Cornell University	MALE	BACHELOR	UNIVERSIDAD DEL VALLE
FLB-CLC	Ph.D.	Cornell University	FEMALE	BACHELOR	UNIVERSIDAD DEL TOLIMA
FLB-LSP	MASTER'S	Ball State University	MALE	BACHELOR	UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC
FLB-LSP	Ph.D.	Virginia Polytechnic Institute and State University	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
CLC- FLB	PH.D.	Purdue University	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
EDC	INV & DOC	Georgia Institute of Technology - Main Campus	MALE	BACHELOR	University of Central Florida
EDC	INV & DOC	San Francisco State University	FEMALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
NEXUS	INV & DOC	SUNY Stony Brook	FEMALE	BACHELOR	UNIVERSITAT DE BARCELONA
CLC- FLB	PH.D.	City College of New York of the City University of New York, The	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
EDC	INV & DOC	University of California - Los Angeles	FEMALE	BACHELOR	UNIVERSIDAD MILITAR-NUEVA GRANADA
PETRO	MASTER'S	Michigan State University	MALE	BACHELOR	UNIVERSIDAD MILITAR-NUEVA GRANADA
CLC- FLB	PH.D.	Boston University	MALE	BACHELOR	UNIVERSIDAD DEL VALLE
SIR	INV & DOC	TOMPKINS CORTLAND COMMUNITY COLLEGE	MALE	BACHELOR	Occidental College
CLC- FLB	PH.D.	University of California - Davis	FEMALE	BACHELOR	UNIVERSIDAD MILITAR-NUEVA GRANADA
CLC- FLB	PH.D.	Temple University	MALE	BACHELOR	FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO
CALDAS	Ph.D.	Colorado State University	FEMALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
CLC- FLB	PH.D.	Colorado State University	FEMALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
CLC- FLB	PH.D.	Texas A&M University	FEMALE	BACHELOR	UNIVERSIDAD DEL VALLE
CLC- FLB	PH.D.	University of Pittsburgh - Main Campus	FEMALE	BACHELOR	ESCUELA DE INGENIERIA DE ANTIOQUIA EIA
CLC- FLB	PH.D.	Georgia Institute of Technology - Main Campus	MALE	BACHELOR	UNIVERSIDAD AUTONOMA DE OCCIDENTE
JWF	MASTER'S	University of California - Los Angeles	FEMALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	University of California - Los Angeles	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	University of Oregon	FEMALE	BACHELOR	
JWF	MASTER'S	University of Georgia	MALE	BACHELOR	UNIVERSIDAD DE NARIÃ‘O
JWF	MASTER'S	University of Florida	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
CLC- FLB	PH.D.	Cornell University	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
SRM	MASTER'S	University of Minnesota Medical Center - Fairview	FEMALE	BACHELOR	UNIVERSIDAD EAFIT-
DU	MASTER'S	Columbia University in the City of New York	MALE	BACHELOR	COLEGIO DE ESTUDIOS SUPERIORES DE ADMINISTRACION-CESA-
CLC- FLB	PH.D.	Tulane University	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
EDC	INV & DOC	Massachusetts Institute of Technology	MALE	BACHELOR	UNIVERSIDAD PONTIFICIA BOLIVARIANA
LID	MASTER'S	University of Illinois at Chicago	MALE	BACHELOR	UNIVERSIDAD PONTIFICIA BOLIVARIANA
PETRO	PH.D.	Carnegie Mellon University	MALE	BACHELOR	UNIVERSIDAD PONTIFICIA BOLIVARIANA
CLC- FLB	PH.D.	University of Texas at Austin	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
CLC- FLB	PH.D.	Michigan State University	MALE	BACHELOR	FUNDACION UNIVERSIDAD DE AMERICA
VS	INV & DOC	University of Wisconsin - Madison	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
CLC- FLB	Ph.D.	Washington State University	FEMALE	BACHELOR	FUNDACION UNIVERSIDAD DE AMERICA
CALDAS	Ph.D.	The University of Tennessee - Knoxville	FEMALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
CLC- FLB	PH.D.	University of Georgia	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
PETRO	PH.D.	Purdue University	MALE	BACHELOR	UNIVERSIDAD INDUSTRIAL DE SANTANDER
CLC- FLB	PH.D.	Washington State University	MALE	BACHELOR	UNIVERSIDAD INDUSTRIAL DE SANTANDER
CLC- FLB	PH.D.	Clemson University	MALE	BACHELOR	UNIVERSIDAD DEL VALLE
VS	INV & DOC	Columbia University in the City of New York	FEMALE	DOCTORAL	UNIVERSIDAD DE ANTIOQUIA
CALDAS	Ph.D.		FEMALE	MASTER'S	UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD
CLC- FLB	PH.D.	University of Kansas	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
CLC- FLB	PH.D.	University of Massachusetts Amherst	MALE	BACHELOR	UNIVERSIDAD DE ANTIOQUIA
PETRO	MASTER'S	Ohio State University	FEMALE	BACHELOR	UNIVERSIDAD INDUSTRIAL DE SANTANDER
FF	INV & DOC	Harvard University	MALE	BACHELOR	UNIVERSIDAD DE MADRID
ATG	MASTER'S	Massachusetts Institute of Technology	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	Johns Hopkins University	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	Ohio University - Main Campus	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
FLB-LSP	MASTER'S	San Diego State University	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	Indiana University Bloomington	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	Ph.D.	Columbia University in the City of New York	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
PAS	INV & DOC	Harvard University	FEMALE	BACHELOR	UNIVERSITY OF ILLINOIS
JWF	MASTER'S	New York University	FEMALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	Ph.D.	Indiana University Bloomington	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	The New School	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	Duke University	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	Ph.D.	University of Texas at Austin	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
DU	MASTER'S	University of Illinois at Chicago	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	Columbia University in the City of New York	MALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
ETA	INV & DOC	University of California - San Diego	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
PAS	INV & DOC	SUNY Stony Brook	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
HHH	INV & DOC	Cornell University	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
CLC-DNP	Ph.D.	Rutgers, The State University of New Jersey	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
FLB-LSP	MASTER'S	Marquette University	FEMALE	BACHELOR	UNIVERSIDAD DEL TOLIMA
JWF	MASTER'S	University of New Mexico	MALE	BACHELOR	UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC
TEP	INV & DOC	JEFFERSON COUNTY OPEN SCHOOL	MALE	BACHELOR	UNIVERSIDAD PEDAGOGICA NACIONAL
TEP	INV & DOC	GALENA HIGH SCHOOL	FEMALE	BACHELOR	UNIVERSIDAD LA GRAN COLOMBIA
JWF	MASTER'S	Harvard University	FEMALE	BACHELOR	UNIVERSIDAD COMPLUTENSE
FLB-LSP	MASTER'S	Ohio State University	FEMALE	BACHELOR	FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO
JWF	MASTER'S	Tulane University	MALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
JWF	MASTER'S	Claremont Graduate University	MALE	BACHELOR	UNIVERSIDAD DE CALDAS
DU	Ph.D.	University of Pittsburgh - Main Campus	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
HHH	INV & DOC	Vanderbilt University	MALE	BACHELOR	ESCUELA SUPERIOR DE ADMINISTRACION PUBLICA-ESAP-
FLB-LSP	MASTER'S	University of Pittsburgh - Main Campus	MALE	BACHELOR	UNIVERSIDAD DEL QUINDIO
JWF	MASTER'S	Syracuse University	FEMALE	BACHELOR	UNIVERSIDAD PEDAGOGICA NACIONAL
JWF	MASTER'S	Ohio University - Main Campus	MALE	BACHELOR	UNIVERSIDAD PEDAGOGICA NACIONAL
SIR	INV & DOC	University of Alabama at Birmingham	MALE	BACHELOR	UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC
ARTS	Ph.D.	University of California, Santa Barbara	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	New York University	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	INV & DOC	New York Film Academy, New York	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
CLC- FLB	PH.D.	University of Maryland - College Park	MALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	University of California, Berkeley	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
CLC- FLB	PH.D.	University of Nevada - Reno	MALE	BACHELOR	UNIVERSIDAD INDUSTRIAL DE SANTANDER
REG	PH.D.	University of Florida	MALE	BACHELOR	UNIVERSIDAD EAFIT-
SRM	MASTER'S	University of Florida	FEMALE	BACHELOR	UNIVERSIDAD MILITAR-NUEVA GRANADA
CLC- FLB	PH.D.	Virginia Polytechnic Institute and State University	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
