ABBREV	DEGREE	US_UNIVERSITY	GENDER	PREVIOUS_DEGREE	COLOMBIAN_UNIVERSITY
CALDAS	Ph.D.	University of New Mexico	MALE	BACHELOR	UNIVERSIDAD DEL CAUCA
CALDAS	Ph.D.	University of California, Santa Barbara	FEMALE	BACHELOR	UNIVERSIDAD DEL VALLE
DU	MASTER'S	University of Cincinnati	FEMALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
CALDAS	Ph.D.	Oregon State University	FEMALE	BACHELOR	UNIVERSIDAD DE ANTIOQUIA
SRM	MASTER'S	Georgetown University	FEMALE	BACHELOR	UNIVERSIDAD PONTIFICIA BOLIVARIANA
SRM	MASTER'S	Boston College	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
SRM	MASTER'S	Ohio State University	MALE	BACHELOR	UNIVERSIDAD EAFIT-
LID	MASTER'S		MALE	BACHELOR	ESCUELA MILITAR DE AVIACION MARCO FIDEL SUAREZ
ARTS	MASTER'S		MALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
CLC-DNP	Ph.D.		FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
ARTS	INV & DOC		FEMALE	BACHELOR	ESCUELA COLOMBIANA DE INGENIERIA JULIO GARAVITO
TEP	INV & DOC	WOODSTOCK ACADEMY		BACHELOR	UNIVERSIDAD DE ANTIOQUIA
CALDAS	Ph.D.		FEMALE		
SRM	MASTER'S	Emory University	MALE	BACHELOR	ESCUELA DE INGENIERIA DE ANTIOQUIA EIA
SRM	MASTER'S	Illinois Institute of Technology	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
CALDAS	Ph.D.	Oklahoma State University	FEMALE	BACHELOR	ESCUELA COLOMBIANA DE INGENIERIA JULIO GARAVITO
CALDAS	Ph.D.	George Mason University	MALE	BACHELOR	UNIVERSIDAD DEL NORTE
REG	Ph.D.	Purdue University	MALE	BACHELOR	UNIVERSIDAD INDUSTRIAL DE SANTANDER
CALDAS	Ph.D.	Duke University	FEMALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
CALDAS	Ph.D.	University of Illinois at Urbana-Champaign	MALE	BACHELOR	UNIVERSIDAD DEL VALLE
CERR	MASTER'S	Temple University	FEMALE	BACHELOR	COLEGIO MAYOR DE NUESTRA SEÃ‘ORA DEL ROSARIO
CALDAS	Ph.D.	Yeshiva University	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
CLC-DNP	Ph.D.	Ohio State University	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
CLC-DNP	Ph.D.	Brigham Young University	FEMALE	BACHELOR	UNIVERSIDAD CES
LID	Ph.D.	Portland State University	FEMALE	BACHELOR	UNIVERSIDAD DEL VALLE
CALDAS	Ph.D.	University of Delaware	MALE	BACHELOR	UNIVERSIDAD MILITAR-NUEVA GRANADA
LID	Ph.D.	University of Miami	FEMALE	BACHELOR	UNIVERSIDAD DE MEDELLIN
LID	Ph.D.	Florida State University	FEMALE	BACHELOR	UNIVERSIDAD DEL VALLE
EST. CUL	MASTER'S	University of Illinois at Chicago	FEMALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
CALDAS	Ph.D.	Columbia University in the City of New York	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
LID	MASTER'S	Cornell University	MALE	BACHELOR	COLEGIO MAYOR DE NUESTRA SEÃ‘ORA DEL ROSARIO
CALDAS	Ph.D.	Pennsylvania State University	FEMALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
EST. CUL	MASTER'S	Southern Illinois University Carbondale	MALE	BACHELOR	UNIVERSIDAD DE CALDAS
REG	MASTER'S	Indiana University Bloomington	FEMALE	BACHELOR	UNIVERSIDAD DE CORDOBA
CLC-DNP	Ph.D.	Southern Illinois University Carbondale	FEMALE	BACHELOR	PONTIFICIA UNIVERSIDAD JAVERIANA
CLC-DNP	MASTER'S	University of Arkansas, Fayetteville	FEMALE	BACHELOR	UNIVERSIDAD EXTERNADO DE COLOMBIA
SALD. CON	MASTER'S	University of Florida	FEMALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	Columbia University in the City of New York	FEMALE	BACHELOR	UNIVERSIDAD DE LOS ANDES
CALDAS	Ph.D.	Pennsylvania State University	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
CALDAS	Ph.D.	Washington State University	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
CALDAS	Ph.D.	Southern Illinois University Carbondale	MALE	BACHELOR	UNIVERSIDAD DEL MAGDALENA - UNIMAGDALENA
CLC-DNP	MASTER'S	Purdue University	MALE	BACHELOR	ESCUELA MILITAR DE AVIACION MARCO FIDEL SUAREZ
LID	MASTER'S	American University	MALE	BACHELOR	UNIVERSIDAD TECNOLOGICA DEL CHOCO-DIEGO LUIS CORDOBA
CLC-DNP	Ph.D.	University of Arizona	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
EST. CUL	MASTER'S	University of Arkansas, Fayetteville	MALE	BACHELOR	UNIVERSIDAD NACIONAL DE COLOMBIA
REG	MASTER'S	SUNY Stony Brook	MALE	BACHELOR	UNIVERSIDAD DEL ATLANTICO
