ABBREV.	DEGREE	GENERAL_ACADEMIC_AREA	US_UNIVERSITY	US_CITY	GENDER	COLOMBIAN_CITY	PREVIOUS_DEGREE	FIELD _OF_STUDY	COLOMBIAN_UNIVERSITY
FLB-CLC	Ph.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	The University of Texas Medical Branch	GALVESTON	FEMALE	POPAYAN	BACHELOR	BIOLOGIA	UNIVERSIDAD DEL CAUCA
FLB-CLC	Ph.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	The University of Texas Medical Branch	GALVESTON	MALE	POPAYAN	BACHELOR	BIOLOGIA	UNIVERSIDAD DEL CAUCA
ARTS	MASTER'S	ART & ARCHITECTURE	University of Utah	SALT LAKE CITY	FEMALE	BUCARAMANGA	BACHELOR	BIOLOGIA	UNIVERSIDAD DE LOS ANDES
FLB-CLC	Ph.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	North Carolina State University	RALEIGH	MALE	CALI	BACHELOR	BIOLOGIA	UNIVERSIDAD DEL VALLE
DU	Ph.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	University of Michigan - Ann Arbor	ANN ARBOR	FEMALE	CALI	BACHELOR	BIOLOGIA	UNIVERSIDAD DEL VALLE
EST. CUL	MASTER'S	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	University of South Florida	ST. PETESBURG	FEMALE	SANTA MARTA	BACHELOR	BIOLOGIA MARINA	FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO
JWF	Ph.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	Boston University	BOSTON	FEMALE		BACHELOR	BIOLOGIA MARINA	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	Texas A&M University	COLLEGE STATION	MALE		BACHELOR	BIOLOGIA MARINA	FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO
FLB-LSP	MASTER'S	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	University of Rhode Island	KINGSTON	FEMALE		BACHELOR	BIOLOGIA MARINA	FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO
FLB-LSP	MASTER'S	ENGINEERING & APPLIED SCIENCES	University of Rhode Island	KINGSTON	MALE		BACHELOR	BIOLOGIA MARINA	FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO
JWF	MASTER'S	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	Oregon State University	CORVALLIS	FEMALE		BACHELOR	BIOLOGIA MARINA	FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO
JWF	MASTER'S	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	University of Texas at Austin	AUSTIN	MALE		BACHELOR	BIOLOGIA MARINA	FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO
AMZ	MASTER'S	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	SUNY College of Environmental Science and Forestry	SYRACUSE	MALE	LETICIA	BACHELOR	BIOLOGIA MARINA	FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO
JWF	MASTER'S	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	University of California, Berkeley	BERKELEY	FEMALE	BOGOTA D.C.	BACHELOR	BIOLOGIA MARINA	UNIVERSIDAD DE LOS ANDES
FLB-CLC	Ph.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	SUNY at Buffalo	BUFFALO	MALE	BOGOTA D.C.	BACHELOR	BIOLOGIA MARINA	FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO
JWF	Ph.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	University of Texas at Austin	AUSTIN	MALE	SANTA MARTA	BACHELOR	BIOLOGIA MARINA	FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO
JWF	MASTER'S	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	New Mexico State University	LAS CRUCES	MALE	CALI	BACHELOR	BIOLOGIA MARINA	FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO
ATG	Ph.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	University of Miami	CORAL GABLES	MALE		BACHELOR	BIOLOGIA Y QUIMICA	UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC
JWF	MASTER'S	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	University of Missouri - Columbia	COLUMBIA	FEMALE		BACHELOR	BIOLOGIA Y QUIMICA	UNIVERSIDAD DE LOS ANDES
FLB-LSP	MASTER'S	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	University of Connecticut	STORRS	MALE		BACHELOR	BIOLOGIA Y QUIMICA	UNIVERSIDAD PEDAGOGICA NACIONAL
FLB-LSP	MASTER'S	PHYSICAL SCIENCES & MATHEMATICS	SUNY College of Environmental Science and Forestry	SYRACUSE	MALE		BACHELOR	BIOLOGIA Y QUIMICA	UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC
FLB-CLC	Ph.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	Cornell University	ITHACA	MALE		BACHELOR	BIOLOGIA Y QUIMICA	UNIVERSIDAD DEL VALLE
FLB-CLC	Ph.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	Cornell University	ITHACA	FEMALE	BOGOTA D.C.	BACHELOR	BIOLOGIA Y QUIMICA	UNIVERSIDAD DEL TOLIMA
FLB-LSP	MASTER'S	PHYSICAL SCIENCES & MATHEMATICS	Ball State University	MUNCIE	MALE	QUIBDO	BACHELOR	BIOLOGIA Y QUIMICA	UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC
FLB-LSP	Ph.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	Virginia Polytechnic Institute and State University	BLACKSBURG	MALE	NEIVA	BACHELOR	BIOLOGIA Y QUIMICA	UNIVERSIDAD NACIONAL DE COLOMBIA
CLC- FLB	PH.D.	ENGINEERING & APPLIED SCIENCES	Purdue University	WEST LAFAYETTE	MALE	MEDELLIN	BACHELOR	BIOLOGICAL ENGINEERING	UNIVERSIDAD NACIONAL DE COLOMBIA
EDC	INV & DOC	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	Georgia Institute of Technology - Main Campus	ATLANTA	MALE	MEDELLIN	BACHELOR	BIOLOGICAL SCIENCES	University of Central Florida
EDC	INV & DOC	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	San Francisco State University	SAN FRANCISCO	FEMALE	BOGOTA	BACHELOR	BIOLOGICAL SCIENCES	PONTIFICIA UNIVERSIDAD JAVERIANA
NEXUS	INV & DOC	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	SUNY Stony Brook	STONY BROOK	FEMALE	BOGOTA	BACHELOR	BIOLOGICAL SCIENCES	UNIVERSITAT DE BARCELONA
CLC- FLB	PH.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	City College of New York of the City University of New York, The		FEMALE	BOGOTA	BACHELOR	BIOLOGY	UNIVERSIDAD DE LOS ANDES
EDC	INV & DOC	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	University of California - Los Angeles	LOS ANGELES	FEMALE	BOGOTA	BACHELOR	BIOLOGY	UNIVERSIDAD MILITAR-NUEVA GRANADA
PETRO	MASTER'S	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	Michigan State University		MALE	CAJICA	BACHELOR	BIOLOGY	UNIVERSIDAD MILITAR-NUEVA GRANADA
CLC- FLB	PH.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	Boston University		MALE	BOGOTA	BACHELOR	BIOLOGY	UNIVERSIDAD DEL VALLE
SIR	INV & DOC	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	TOMPKINS CORTLAND COMMUNITY COLLEGE	DRYDEN	MALE	CALI	BACHELOR	BIOLOGY	Occidental College
CLC- FLB	PH.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	University of California - Davis	DAVIS	FEMALE	BOGOTA	BACHELOR	BIOLOGY/BIOLOGICAL SCIENCES, GENERAL	UNIVERSIDAD MILITAR-NUEVA GRANADA
CLC- FLB	PH.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	Temple University	PHILADELPHIA	MALE	BOGOTA	BACHELOR	BIOLOGY/BIOLOGICAL SCIENCES, GENERAL	FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO
CALDAS	Ph.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	Colorado State University	FORT COLLINS	FEMALE	BOGOTA D.C.	BACHELOR	BIOLOGY/BIOLOGICAL SCIENCES, GENERAL	UNIVERSIDAD NACIONAL DE COLOMBIA
CLC- FLB	PH.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	Colorado State University	FORT COLLINS	FEMALE	BOGOTA	BACHELOR	BIOLOGY/BIOLOGICAL SCIENCES, GENERAL	UNIVERSIDAD NACIONAL DE COLOMBIA
CLC- FLB	PH.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	Texas A&M University	CORPUS CHRISTI	FEMALE	CALI	BACHELOR	BIOLOGY/BIOLOGICAL SCIENCES, GENERAL	UNIVERSIDAD DEL VALLE
CLC- FLB	PH.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	University of Pittsburgh - Main Campus	PITTSBURGH	FEMALE	ENVIGADO	BACHELOR	BIOMEDICAL/MEDICAL ENGINEERING	ESCUELA DE INGENIERIA DE ANTIOQUIA EIA
CLC- FLB	PH.D.	ENGINEERING & APPLIED SCIENCES	Georgia Institute of Technology - Main Campus	ATLANTA	MALE	CALI	BACHELOR	BIOMEDICAL/MEDICAL ENGINEERING	UNIVERSIDAD AUTONOMA DE OCCIDENTE
JWF	MASTER'S	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	University of California - Los Angeles	LOS ANGELES	FEMALE		BACHELOR	BIOQUIMICA	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	University of California - Los Angeles	LOS ANGELES	MALE		BACHELOR	BIOQUIMICA	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	University of Oregon	EUGENE	FEMALE		BACHELOR	BIOQUIMICA	
JWF	MASTER'S	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	University of Georgia	ATHENS	MALE		BACHELOR	BOTANICA	UNIVERSIDAD DE NARIÑO
JWF	MASTER'S	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	University of Florida	GAINESVILLE	FEMALE		BACHELOR	BOTANICA	UNIVERSIDAD DE LOS ANDES
CLC- FLB	PH.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	Cornell University	ITHACA	FEMALE	BOGOTA	BACHELOR	BOTANY/PLANT BIOLOGY	UNIVERSIDAD DE LOS ANDES
SRM	MASTER'S	BUSINESS ADMINISTRATION & MANAGEMENT	University of Minnesota Medical Center - Fairview	MINNEAPOLIS	FEMALE	ENVIGADO	BACHELOR	BUSINESS ADMINISTRATION AND MANAGEMENT, GENERAL	UNIVERSIDAD EAFIT-
DU	MASTER'S	HUMANITIES & SOCIAL SCIENCES	Columbia University in the City of New York	NEW YORK	MALE	BOGOTA	BACHELOR	BUSINESS ADMINISTRATION AND MANAGEMENT, GENERAL	COLEGIO DE ESTUDIOS SUPERIORES DE ADMINISTRACION-CESA-
CLC- FLB	PH.D.	ENGINEERING & APPLIED SCIENCES	Tulane University	NEW ORLEANS	FEMALE	BOGOTA	BACHELOR	CELL/CELLULAR AND MOLECULAR BIOLOGY	UNIVERSIDAD DE LOS ANDES
EDC	INV & DOC	ENGINEERING & APPLIED SCIENCES	Massachusetts Institute of Technology	CAMBRIDGE	MALE	MEDELLIN	BACHELOR	CHEMICAL ENGINEERING	UNIVERSIDAD PONTIFICIA BOLIVARIANA
LID	MASTER'S	ENGINEERING & APPLIED SCIENCES	University of Illinois at Chicago	CHICAGO	MALE	QUIBDO	BACHELOR	CHEMICAL ENGINEERING	UNIVERSIDAD PONTIFICIA BOLIVARIANA
PETRO	PH.D.	PHYSICAL SCIENCES & MATHEMATICS	Carnegie Mellon University	PITTSBURGH	MALE	MEDELLIN	BACHELOR	CHEMICAL ENGINEERING	UNIVERSIDAD PONTIFICIA BOLIVARIANA
CLC- FLB	PH.D.	ENGINEERING & APPLIED SCIENCES	University of Texas at Austin	AUSTIN	MALE	BOGOTA	BACHELOR	CHEMICAL ENGINEERING	UNIVERSIDAD DE LOS ANDES
CLC- FLB	PH.D.	ENGINEERING & APPLIED SCIENCES	Michigan State University	EAST LANSING	MALE	BOGOTA	BACHELOR	CHEMICAL ENGINEERING	FUNDACION UNIVERSIDAD DE AMERICA
VS	INV & DOC	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	University of Wisconsin - Madison	MADISON	MALE	BOGOTA	BACHELOR	CHEMICAL ENGINEERING	UNIVERSIDAD NACIONAL DE COLOMBIA
CLC- FLB	Ph.D.	ENGINEERING & APPLIED SCIENCES	Washington State University	PULLMAN	FEMALE	BOGOTA	BACHELOR	CHEMICAL ENGINEERING	FUNDACION UNIVERSIDAD DE AMERICA
CALDAS	Ph.D.	ENGINEERING & APPLIED SCIENCES	The University of Tennessee - Knoxville		FEMALE	MEDELLIN	BACHELOR	CHEMICAL ENGINEERING	UNIVERSIDAD NACIONAL DE COLOMBIA
CLC- FLB	PH.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	University of Georgia	ATHENS	MALE	BOGOTA	BACHELOR	CHEMICAL ENGINEERING	UNIVERSIDAD DE LOS ANDES
PETRO	PH.D.	ENGINEERING & APPLIED SCIENCES	Purdue University	WEST LAFAYETTE	MALE	YOPAL	BACHELOR	CHEMICAL ENGINEERING	UNIVERSIDAD INDUSTRIAL DE SANTANDER
CLC- FLB	PH.D.	ENGINEERING & APPLIED SCIENCES	Washington State University	PULLMAN	MALE	FLORIDABLANCA	BACHELOR	CHEMICAL ENGINEERING	UNIVERSIDAD INDUSTRIAL DE SANTANDER
CLC- FLB	PH.D.	ENGINEERING & APPLIED SCIENCES	Clemson University	CLEMSON	MALE	CALI	BACHELOR	CHEMICAL ENGINEERING	UNIVERSIDAD DEL VALLE
VS	INV & DOC	ENGINEERING & APPLIED SCIENCES	Columbia University in the City of New York	NEW YORK	FEMALE	BOGOTA	DOCTORAL	CHEMICAL ENGINEERING	UNIVERSIDAD DE ANTIOQUIA
CALDAS	Ph.D.	ENGINEERING & APPLIED SCIENCES			FEMALE	BOGOTA D.C.	MASTER'S	CHEMICAL ENGINEERING	UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD
CLC- FLB	PH.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	University of Kansas		MALE	BOGOTA	BACHELOR	CHEMISTRY	UNIVERSIDAD DE LOS ANDES
CLC- FLB	PH.D.	PHYSICAL SCIENCES & MATHEMATICS	University of Massachusetts Amherst	AMHERST	MALE	ENVIGADO	BACHELOR	CHEMISTRY, GENERAL	UNIVERSIDAD DE ANTIOQUIA
PETRO	MASTER'S	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	Ohio State University	COLUMBUS	FEMALE	BUCARAMANGA	BACHELOR	CHEMISTRY, GENERAL	UNIVERSIDAD INDUSTRIAL DE SANTANDER
FF	INV & DOC	BUSINESS ADMINISTRATION & MANAGEMENT	Harvard University	CAMBRIDGE	MALE		BACHELOR	CHENICAL SCIENCE	UNIVERSIDAD DE MADRID
ATG	MASTER'S	HUMANITIES & SOCIAL SCIENCES	Massachusetts Institute of Technology	CAMBRIDGE	MALE		BACHELOR	CIENCIA POLITICA	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	BUSINESS ADMINISTRATION & MANAGEMENT	Johns Hopkins University	BALTIMORE	MALE		BACHELOR	CIENCIA POLITICA	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	HUMANITIES & SOCIAL SCIENCES	Ohio University - Main Campus	ATHENS	MALE		BACHELOR	CIENCIA POLITICA	UNIVERSIDAD DE LOS ANDES
FLB-LSP	MASTER'S	HUMANITIES & SOCIAL SCIENCES	San Diego State University	SAN DIEGO	MALE		BACHELOR	CIENCIA POLITICA	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	HUMANITIES & SOCIAL SCIENCES	Indiana University Bloomington	BLOOMINGTON	FEMALE		BACHELOR	CIENCIA POLITICA	UNIVERSIDAD DE LOS ANDES
JWF	Ph.D.	HUMANITIES & SOCIAL SCIENCES	Columbia University in the City of New York	NEW YORK	FEMALE		BACHELOR	CIENCIA POLITICA	UNIVERSIDAD DE LOS ANDES
PAS	INV & DOC	HUMANITIES & SOCIAL SCIENCES	Harvard University	CAMBRIDGE	FEMALE		BACHELOR	CIENCIA POLITICA	UNIVERSITY OF ILLINOIS
JWF	MASTER'S	HUMANITIES & SOCIAL SCIENCES	New York University	NEW YORK	FEMALE	BOGOTA D.C.	BACHELOR	CIENCIA POLITICA	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	Ph.D.	EDUCATION	Indiana University Bloomington	BLOOMINGTON	FEMALE	BOGOTA D.C.	BACHELOR	CIENCIA POLITICA	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	HUMANITIES & SOCIAL SCIENCES	The New School	NEW YORK	FEMALE	BOGOTA D.C.	BACHELOR	CIENCIA POLITICA	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	HUMANITIES & SOCIAL SCIENCES	Duke University	DURHAM	FEMALE	BOGOTA D.C.	BACHELOR	CIENCIA POLITICA	UNIVERSIDAD DE LOS ANDES
JWF	Ph.D.	HUMANITIES & SOCIAL SCIENCES	University of Texas at Austin	AUSTIN	MALE	BOGOTA D.C.	BACHELOR	CIENCIA POLITICA	UNIVERSIDAD DE LOS ANDES
DU	MASTER'S	HUMANITIES & SOCIAL SCIENCES	University of Illinois at Chicago	CHICAGO	FEMALE	BOGOTA D.C.	BACHELOR	CIENCIA POLITICA	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	HUMANITIES & SOCIAL SCIENCES	Columbia University in the City of New York	NEW YORK	MALE	BOGOTA D.C.	BACHELOR	CIENCIA POLITICA	PONTIFICIA UNIVERSIDAD JAVERIANA
ETA	INV & DOC		University of California - San Diego	SAN DIEGO	MALE	BOGOTA D.C.	BACHELOR	CIENCIA POLITICA	UNIVERSIDAD DE LOS ANDES
PAS	INV & DOC	HUMANITIES & SOCIAL SCIENCES	SUNY Stony Brook	MANHATTAN	MALE	BOGOTA D.C.	BACHELOR	CIENCIA POLITICA	UNIVERSIDAD DE LOS ANDES
HHH	INV & DOC	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	Cornell University	ITHACA	MALE	BOGOTA D.C.	BACHELOR	CIENCIA POLITICA	UNIVERSIDAD DE LOS ANDES
CLC-DNP	Ph.D.	HUMANITIES & SOCIAL SCIENCES	Rutgers, The State University of New Jersey	NEW BRUNSWICK	FEMALE	BOGOTA D.C.	BACHELOR	CIENCIA POLITICA/HISTORIA	UNIVERSIDAD DE LOS ANDES
FLB-LSP	MASTER'S	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	Marquette University	MILWAUKEE	FEMALE		BACHELOR	CIENCIAS BIOLOGICAS Y QUIMICA	UNIVERSIDAD DEL TOLIMA
JWF	MASTER'S	EDUCATION	University of New Mexico	ALBUQUERQUE	MALE		BACHELOR	CIENCIAS DE LA EDUCACION Y FILOSOFIA	UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC
TEP	INV & DOC	EDUCATION	JEFFERSON COUNTY OPEN SCHOOL	LAKEWOOD	MALE	BOGOTA D.C.	BACHELOR	CIENCIAS DE LA EDUCACION-LINGÜISTICA,LITERATURA	UNIVERSIDAD PEDAGOGICA NACIONAL
TEP	INV & DOC	EDUCATION	GALENA HIGH SCHOOL	RENO	FEMALE	BOGOTA D.C.	BACHELOR	CIENCIAS DE LA EDUCACION-LINGÜISTICA,LITERATURA	UNIVERSIDAD LA GRAN COLOMBIA
JWF	MASTER'S	HUMANITIES & SOCIAL SCIENCES	Harvard University	CAMBRIDGE	FEMALE		BACHELOR	CIENCIAS DE LA INFORMACION	UNIVERSIDAD COMPLUTENSE
FLB-LSP	MASTER'S	HUMANITIES & SOCIAL SCIENCES	Ohio State University	COLUMBUS	FEMALE		BACHELOR	CIENCIAS ECONOMICAS	FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO
JWF	MASTER'S	LAW	Tulane University	NEW ORLEANS	MALE		BACHELOR	CIENCIAS JURIDICAS-SOCIO--ECONOMIA	PONTIFICIA UNIVERSIDAD JAVERIANA
JWF	MASTER'S	HUMANITIES & SOCIAL SCIENCES	Claremont Graduate University	CLAREMONT	MALE		BACHELOR	CIENCIAS POLITICAS	UNIVERSIDAD DE CALDAS
DU	Ph.D.	HUMANITIES & SOCIAL SCIENCES	University of Pittsburgh - Main Campus	PITTSBURGH	FEMALE	BOGOTA D.C.	BACHELOR	CIENCIAS POLITICAS	UNIVERSIDAD DE LOS ANDES
HHH	INV & DOC	EDUCATION	Vanderbilt University	NASHVILLE	MALE	BOGOTA D.C.	BACHELOR	CIENCIAS POLITICAS Y ADMINISTRATIVAS	ESCUELA SUPERIOR DE ADMINISTRACION PUBLICA-ESAP-
FLB-LSP	MASTER'S	HUMANITIES & SOCIAL SCIENCES	University of Pittsburgh - Main Campus	PITTSBURGH	MALE	ARMENIA	BACHELOR	CIENCIAS SOCIALES	UNIVERSIDAD DEL QUINDIO
JWF	MASTER'S	HUMANITIES & SOCIAL SCIENCES	Syracuse University	SYRACUSE	FEMALE		BACHELOR	CIENCIAS SOCIALES	UNIVERSIDAD PEDAGOGICA NACIONAL
JWF	MASTER'S	HUMANITIES & SOCIAL SCIENCES	Ohio University - Main Campus	ATHENS	MALE		BACHELOR	CIENCIAS SOCIALES	UNIVERSIDAD PEDAGOGICA NACIONAL
SIR	INV & DOC	HUMANITIES & SOCIAL SCIENCES	University of Alabama at Birmingham	BIRMINGHAM	MALE	TUNJA	BACHELOR	CIENCIAS SOCIALES	UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC
ARTS	Ph.D.	ART & ARCHITECTURE	University of California, Santa Barbara	SANTA BARBARA	MALE	BOGOTA D.C.	BACHELOR	CINE Y TELEVISION	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	ART & ARCHITECTURE	New York University	TISCH	MALE	BOGOTA D.C.	BACHELOR	CINE Y TELEVISION	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	INV & DOC	ART & ARCHITECTURE	New York Film Academy, New York	NEW YORK	MALE	BOGOTA D.C.	BACHELOR	CINE Y TELEVISION	UNIVERSIDAD NACIONAL DE COLOMBIA
CLC- FLB	PH.D.	HUMANITIES & SOCIAL SCIENCES	University of Maryland - College Park		MALE	BOGOTA	BACHELOR	CIVIL AND INDUSTRIAL ENGINEERING	UNIVERSIDAD DE LOS ANDES
JWF	MASTER'S	ART & ARCHITECTURE	University of California, Berkeley	BERKELEY	FEMALE	BOGOTA	BACHELOR	CIVIL ENGINEERING	UNIVERSIDAD DE LOS ANDES
CLC- FLB	PH.D.	ENGINEERING & APPLIED SCIENCES	University of Nevada - Reno	RENO	MALE	BUCARAMANGA	BACHELOR	CIVIL ENGINEERING	UNIVERSIDAD INDUSTRIAL DE SANTANDER
REG	PH.D.	PHYSICAL SCIENCES & MATHEMATICS	University of Florida	GAINESVILLE	MALE	MEDELLIN	BACHELOR	CIVIL ENGINEERING	UNIVERSIDAD EAFIT-
SRM	MASTER'S	ENGINEERING & APPLIED SCIENCES	University of Florida	GAINESVILLE	FEMALE	BOGOTA	BACHELOR	CIVIL ENGINEERING	UNIVERSIDAD MILITAR-NUEVA GRANADA
CLC- FLB	PH.D.	ENGINEERING & APPLIED SCIENCES	Virginia Polytechnic Institute and State University	BLACKSBURG	MALE	BOGOTA	BACHELOR	CIVIL ENGINEERING	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	HUMANITIES & SOCIAL SCIENCES	University of North Carolina at Chapel Hill	CHAPEL HILL	MALE	BOGOTA	BACHELOR	CIVIL ENGINEERING	UNIVERSIDAD DE LOS ANDES
PETRO	PH.D.	ENGINEERING & APPLIED SCIENCES	Georgia Institute of Technology - Main Campus	ATLANTA	FEMALE	BUCARAMANGA	BACHELOR	CIVIL ENGINEERING	UNIVERSIDAD DE LOS ANDES
CLC- FLB	PH.D.	ENGINEERING & APPLIED SCIENCES	Purdue University	WEST LAFAYETTE	FEMALE	BOGOTA	BACHELOR	CIVIL ENGINEERING	UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS
LID	MASTER'S	ENGINEERING & APPLIED SCIENCES	University of Nebraska - Lincoln	LINCOLN	MALE	MEDELLIN	BACHELOR	CIVIL ENGINEERING	UNIVERSIDAD DE ANTIOQUIA
CLC- FLB	PH.D.	ENGINEERING & APPLIED SCIENCES	University of California, Berkeley	BERKELEY	MALE	RIOSUCIO	BACHELOR	CIVIL ENGINEERING, GENERAL	UNIVERSIDAD NACIONAL DE COLOMBIA
JWF	MASTER'S	BUSINESS ADMINISTRATION & MANAGEMENT	University of South Carolina - Columbia	COLUMBIA	MALE	BOGOTA D.C.	BACHELOR	COMERCIO INTERNACIONAL	FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO
ARTS	MASTER'S	ART & ARCHITECTURE	Ohio University - Main Campus	ATHENS	FEMALE	BARRANQUILLA	BACHELOR	COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS, OTHER	UNIVERSIDAD DEL NORTE
DU	PH.D.	HUMANITIES & SOCIAL SCIENCES	University of Texas at Austin	AUSTIN	MALE	BOGOTA	BACHELOR	COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS, OTHER	UNIVERSIDAD DE LA SABANA
SALD	MASTER'S	HUMANITIES & SOCIAL SCIENCES	Florida Atlantic University		MALE	BOGOTA	BACHELOR	COMMUNICATION/JOURNALISM	UNIVERSIDAD DE LA SABANA
LID	MASTER'S	HUMANITIES & SOCIAL SCIENCES	Georgetown University		FEMALE	CARTAGENA	BACHELOR	COMMUNICATIONS	UNIVERSIDAD DE CARTAGENA
JWF	MASTER'S	ART & ARCHITECTURE	University of Cincinnati	CINCINNATI	MALE	BOGOTA D.C.	BACHELOR	COMPOSION	PONTIFICIA UNIVERSIDAD JAVERIANA
CLC- FLB	PH.D.	ENGINEERING & APPLIED SCIENCES	Emory University		MALE	CALI	BACHELOR	COMPUTER SCIENCE	UNIVERSIDAD ICESI
NEXUS	INV & DOC	ENGINEERING & APPLIED SCIENCES	Purdue University	WEST LAFAYETTE	MALE	BARRANQUILLA	BACHELOR	COMPUTER SCIENCE	UNIVERSIDAD DEL NORTE
JWF	PH.D.	HUMANITIES & SOCIAL SCIENCES	Carnegie Mellon University	PITTSBURGH	MALE	BOGOTA	BACHELOR	COMPUTER SOFTWARE ENGINEERING	UNIVERSIDAD DE LOS ANDES
