ABBREV.	DEGREE	GENERAL_ACADEMIC_AREA	US_UNIVERSITY	US_CITY	GENDER	COLOMBIAN_CITY	PREVIOUS_DEGREE	FIELD _OF_STUDY	COLOMBIAN_UNIVERSITY
REG	MASTER'S	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	SUNY College of Environmental Science and Forestry	SYRACUSE	FEMALE	ENVIGADO	BACHELOR	INGENIERIA AMBIENTAL	ESCUELA DE INGENIERIA DE ANTIOQUIA EIA
REG	MASTER'S	ART & ARCHITECTURE	University of Kansas	LAWRENCE	FEMALE	CARTAGENA	BACHELOR	GRAPHIC DESIGN	FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO
JWF	Ph.D.	HUMANITIES & SOCIAL SCIENCES	University of North Carolina at Chapel Hill	CHARLOTTE	MALE	BOGOTA D.C.	BACHELOR	ARQUITECTURA	UNIVERSIDAD NACIONAL DE COLOMBIA
CLC-DNP	Ph.D.	HUMANITIES & SOCIAL SCIENCES	Brown University	PROVIDENCE	FEMALE	BOGOTA D.C.	BACHELOR	ECONOMIA	UNIVERSIDAD DE LOS ANDES
SRM	MASTER'S	BUSINESS ADMINISTRATION & MANAGEMENT	Boston College	BOSTON	MALE	MEDELLIN	BACHELOR	INGENIERIA DE PRODUCCION	UNIVERSIDAD EAFIT-
JWF	Ph.D.	HUMANITIES & SOCIAL SCIENCES	Northwestern University	EVANSTON	FEMALE	BOGOTA D.C.	BACHELOR	INTERNATIONAL RELATIONS AND AFFAIRS	UNIVERSIDAD EXTERNADO DE COLOMBIA
JWF	MASTER'S	HUMANITIES & SOCIAL SCIENCES	Cornell University	ITHACA	MALE	BOGOTA D.C.	BACHELOR	ECONOMICS, GENERAL	PONTIFICIA UNIVERSIDAD JAVERIANA
SRM	MASTER'S	BUSINESS ADMINISTRATION & MANAGEMENT	Emory University	ATLANTA	MALE	MEDELLIN	BACHELOR	BUSINESS ADMINISTRATION AND MANAGEMENT, GENERAL	ESCUELA DE INGENIERIA DE ANTIOQUIA EIA
ARTS	MASTER'S	ART & ARCHITECTURE	Harvard University		MALE	BOGOTA D.C.	BACHELOR	ARQUITECTURA	UNIVERSIDAD DE LOS ANDES
REG	Ph.D.	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	SUNY Stony Brook	MANHATTAN	FEMALE	POPAYAN	BACHELOR	BIOLOGIA	PONTIFICIA UNIVERSIDAD JAVERIANA
